OBEC,OKRES,KRAJ
Olšany,Šumperk,"Olomoucký kraj"
"Olšany u Prostějova",Prostějov,"Olomoucký kraj"
Olšany,Vyškov,"Jihomoravský kraj"
Olší,Brno-venkov,"Jihomoravský kraj"
Olší,Jihlava,Vysočina
Olšovec,Přerov,"Olomoucký kraj"
Olšovice,Prachatice,"Jihočeský kraj"
Omice,Brno-venkov,"Jihomoravský kraj"
Omlenice,"Český Krumlov","Jihočeský kraj"
Ondratice,Prostějov,"Olomoucký kraj"
Ondřejov,Pelhřimov,Vysočina
Ondřejov,Praha-východ,"Středočeský kraj"
Onomyšl,"Kutná Hora","Středočeský kraj"
Onšov,Pelhřimov,Vysočina
Onšov,Znojmo,"Jihomoravský kraj"
Opařany,Tábor,"Jihočeský kraj"
Opatovec,Svitavy,"Pardubický kraj"
Opatovice,Brno-venkov,"Jihomoravský kraj"
"Opatovice I.","Kutná Hora","Středočeský kraj"
"Opatovice nad Labem",Pardubice,"Pardubický kraj"
Opatovice,Přerov,"Olomoucký kraj"
Opatov,Jihlava,Vysočina
Opatov,Svitavy,"Pardubický kraj"
Opatov,Třebíč,Vysočina
Opava,Opava,"Moravskoslezský kraj"
Oplany,Praha-východ,"Středočeský kraj"
Oplocany,Přerov,"Olomoucký kraj"
Oplot,Plzeň-jih,"Plzeňský kraj"
Opočnice,Nymburk,"Středočeský kraj"
Opočno,Louny,"Ústecký kraj"
Opočno,"Rychnov nad Kněžnou","Královéhradecký kraj"
Opolany,Nymburk,"Středočeský kraj"
Oponešice,Třebíč,Vysočina
Oprostovice,Přerov,"Olomoucký kraj"
Oráčov,Rakovník,"Středočeský kraj"
Ořechov,Brno-venkov,"Jihomoravský kraj"
Ořechov,Jihlava,Vysočina
Ořechov,"Uherské Hradiště","Zlínský kraj"
Ořechov,"Žďár nad Sázavou",Vysočina
Ořech,Praha-západ,"Středočeský kraj"
Orel,Chrudim,"Pardubický kraj"
"Orlické Podhůří","Ústí nad Orlicí","Pardubický kraj"
"Orlické Záhoří","Rychnov nad Kněžnou","Královéhradecký kraj"
Orličky,"Ústí nad Orlicí","Pardubický kraj"
"Orlík nad Vltavou",Písek,"Jihočeský kraj"
Orlová,Karviná,"Moravskoslezský kraj"
Orlovice,Vyškov,"Jihomoravský kraj"
Osečany,Příbram,"Středočeský kraj"
Oseček,Nymburk,"Středočeský kraj"
Osečná,Liberec,"Liberecký kraj"
Osečnice,"Rychnov nad Kněžnou","Královéhradecký kraj"
Osek,Beroun,"Středočeský kraj"
Osek,Jičín,"Královéhradecký kraj"
"Osek nad Bečvou",Přerov,"Olomoucký kraj"
Osek,Písek,"Jihočeský kraj"
Osek,Rokycany,"Plzeňský kraj"
Osek,Strakonice,"Jihočeský kraj"
Osek,Teplice,"Ústecký kraj"
Oselce,Plzeň-jih,"Plzeňský kraj"
Ošelín,Tachov,"Plzeňský kraj"
Osice,"Hradec Králové","Královéhradecký kraj"
Osíčko,Kroměříž,"Zlínský kraj"
Osičky,"Hradec Králové","Královéhradecký kraj"
Osík,Svitavy,"Pardubický kraj"
Osiky,Brno-venkov,"Jihomoravský kraj"
Oskava,Šumperk,"Olomoucký kraj"
Oskořínek,Nymburk,"Středočeský kraj"
Oslavany,Brno-venkov,"Jihomoravský kraj"
Oslavice,"Žďár nad Sázavou",Vysočina
Oslavička,"Žďár nad Sázavou",Vysočina
Oslnovice,Znojmo,"Jihomoravský kraj"
Oslov,Písek,"Jihočeský kraj"
Osoblaha,Bruntál,"Moravskoslezský kraj"
"Osová Bítýška","Žďár nad Sázavou",Vysočina
Osov,Beroun,"Středočeský kraj"
Osové,"Žďár nad Sázavou",Vysočina
Ostašov,Třebíč,Vysočina
Ostopovice,Brno-venkov,"Jihomoravský kraj"
Ostrá,Nymburk,"Středočeský kraj"
Ostrata,Zlín,"Zlínský kraj"
Ostrava,Ostrava-město,"Moravskoslezský kraj"
Ostravice,Frýdek-Místek,"Moravskoslezský kraj"
Ostředek,Benešov,"Středočeský kraj"
Ostřešany,Pardubice,"Pardubický kraj"
Ostřetice,Klatovy,"Plzeňský kraj"
Ostřetín,Pardubice,"Pardubický kraj"
"Ostrolovský Újezd","České Budějovice","Jihočeský kraj"
Ostroměř,Jičín,"Královéhradecký kraj"
Ostrovačice,Brno-venkov,"Jihomoravský kraj"
Ostrovánky,Hodonín,"Jihomoravský kraj"
Ostrov,Benešov,"Středočeský kraj"
Ostrov,Chrudim,"Pardubický kraj"
Ostrovec-Lhotka,Rokycany,"Plzeňský kraj"
Ostrovec,Písek,"Jihočeský kraj"
Ostrov,"Havlíčkův Brod",Vysočina
Ostrov,"Karlovy Vary","Karlovarský kraj"
"Ostrov nad Oslavou","Žďár nad Sázavou",Vysočina
Ostrov,Příbram,"Středočeský kraj"
"Ostrov u Bezdružic",Plzeň-sever,"Plzeňský kraj"
"Ostrov u Macochy",Blansko,"Jihomoravský kraj"
Ostrov,"Ústí nad Orlicí","Pardubický kraj"
"Ostrožská Lhota","Uherské Hradiště","Zlínský kraj"
"Ostrožská Nová Ves","Uherské Hradiště","Zlínský kraj"
Ostružná,Jeseník,"Olomoucký kraj"
Ostružno,Jičín,"Královéhradecký kraj"
Osvětimany,"Uherské Hradiště","Zlínský kraj"
Osvračín,Domažlice,"Plzeňský kraj"
Otaslavice,Prostějov,"Olomoucký kraj"
Otěšice,Plzeň-jih,"Plzeňský kraj"
Otice,Opava,"Moravskoslezský kraj"
Otín,Jihlava,Vysočina
Otinoves,Prostějov,"Olomoucký kraj"
Otín,"Žďár nad Sázavou",Vysočina
Otmarov,Brno-venkov,"Jihomoravský kraj"
Otmíče,Beroun,"Středočeský kraj"
Otnice,Vyškov,"Jihomoravský kraj"
Otov,Domažlice,"Plzeňský kraj"
Otovice,"Karlovy Vary","Karlovarský kraj"
Otovice,Náchod,"Královéhradecký kraj"
Otradov,Chrudim,"Pardubický kraj"
Otročiněves,Beroun,"Středočeský kraj"
Otročín,"Karlovy Vary","Karlovarský kraj"
Otrokovice,Zlín,"Zlínský kraj"
Otvice,Chomutov,"Ústecký kraj"
Otvovice,Kladno,"Středočeský kraj"
Ouběnice,Příbram,"Středočeský kraj"
Oucmanice,"Ústí nad Orlicí","Pardubický kraj"
Oudoleň,"Havlíčkův Brod",Vysočina
Ovčáry,Kolín,"Středočeský kraj"
Ovčáry,Mělník,"Středočeský kraj"
"Ovesná Lhota","Havlíčkův Brod",Vysočina
"Ovesné Kladruby",Cheb,"Karlovarský kraj"
Oznice,Vsetín,"Zlínský kraj"
Paběnice,"Kutná Hora","Středočeský kraj"
Pačejov,Klatovy,"Plzeňský kraj"
Paceřice,Liberec,"Liberecký kraj"
Pacetluky,Kroměříž,"Zlínský kraj"
Pačlavice,Kroměříž,"Zlínský kraj"
Pacov,Pelhřimov,Vysočina
Páleč,Kladno,"Středočeský kraj"
Palkovice,Frýdek-Místek,"Moravskoslezský kraj"
Palonín,Šumperk,"Olomoucký kraj"
Pálovice,Třebíč,Vysočina
Pamětice,Blansko,"Jihomoravský kraj"
"Panenská Rozsíčka",Jihlava,Vysočina
"Panenské Břežany",Praha-východ,"Středočeský kraj"
"Panenský Týnec",Louny,"Ústecký kraj"
"Panoší Újezd",Rakovník,"Středočeský kraj"
"Panské Dubenky",Jihlava,Vysočina
Paračov,Strakonice,"Jihočeský kraj"
Pardubice,Pardubice,"Pardubický kraj"
Pařezov,Domažlice,"Plzeňský kraj"
Paršovice,Přerov,"Olomoucký kraj"
Partutovice,Přerov,"Olomoucký kraj"
Pasečnice,Domažlice,"Plzeňský kraj"
Paseka,Olomouc,"Olomoucký kraj"
"Paseky nad Jizerou",Semily,"Liberecký kraj"
Paseky,Písek,"Jihočeský kraj"
Pašinka,Kolín,"Středočeský kraj"
Paskov,Frýdek-Místek,"Moravskoslezský kraj"
Pasohlávky,Brno-venkov,"Jihomoravský kraj"
Pašovice,"Uherské Hradiště","Zlínský kraj"
Pastuchovice,Plzeň-sever,"Plzeňský kraj"
Pastviny,"Ústí nad Orlicí","Pardubický kraj"
Pátek,Nymburk,"Středočeský kraj"
Patokryje,Most,"Ústecký kraj"
Pavlice,Znojmo,"Jihomoravský kraj"
Pavlíkov,Rakovník,"Středočeský kraj"
Pavlínov,"Žďár nad Sázavou",Vysočina
Pavlov,Břeclav,"Jihomoravský kraj"
Pavlov,"Havlíčkův Brod",Vysočina
Pavlovice,Benešov,"Středočeský kraj"
"Pavlovice u Kojetína",Prostějov,"Olomoucký kraj"
"Pavlovice u Přerova",Přerov,"Olomoucký kraj"
Pavlov,Jihlava,Vysočina
Pavlov,Kladno,"Středočeský kraj"
Pavlov,Pelhřimov,Vysočina
Pavlov,Šumperk,"Olomoucký kraj"
Pavlov,"Žďár nad Sázavou",Vysočina
Pazderna,Frýdek-Místek,"Moravskoslezský kraj"
Pchery,Kladno,"Středočeský kraj"
Pec,Domažlice,"Plzeňský kraj"
Pěčice,"Mladá Boleslav","Středočeský kraj"
Pečice,Příbram,"Středočeský kraj"
Pěčín,"Rychnov nad Kněžnou","Královéhradecký kraj"
Peč,"Jindřichův Hradec","Jihočeský kraj"
Pecka,Jičín,"Královéhradecký kraj"
Pečky,Kolín,"Středočeský kraj"
Pěčnov,Prachatice,"Jihočeský kraj"
"Pec pod Sněžkou",Trutnov,"Královéhradecký kraj"
Pelechy,Domažlice,"Plzeňský kraj"
Pelhřimov,Pelhřimov,Vysočina
Pěnčín,"Jablonec nad Nisou","Liberecký kraj"
Pěnčín,Liberec,"Liberecký kraj"
Pěnčín,Prostějov,"Olomoucký kraj"
Perálec,Chrudim,"Pardubický kraj"
Peřimov,Semily,"Liberecký kraj"
Perná,Břeclav,"Jihomoravský kraj"
Pernarec,Plzeň-sever,"Plzeňský kraj"
Pernink,"Karlovy Vary","Karlovarský kraj"
"Pernštejnské Jestřabí",Brno-venkov,"Jihomoravský kraj"
Perštejn,Chomutov,"Ústecký kraj"
Pertoltice,"Kutná Hora","Středočeský kraj"
Pertoltice,Liberec,"Liberecký kraj"
"Pertoltice pod Ralskem","Česká Lípa","Liberecký kraj"
Peruc,Louny,"Ústecký kraj"
Pesvice,Chomutov,"Ústecký kraj"
Pětihosty,Praha-východ,"Středočeský kraj"
Pětikozly,"Mladá Boleslav","Středočeský kraj"
Pětipsy,Chomutov,"Ústecký kraj"
Petkovy,"Mladá Boleslav","Středočeský kraj"
Petráveč,"Žďár nad Sázavou",Vysočina
Petříkov,"České Budějovice","Jihočeský kraj"
Petříkov,Praha-východ,"Středočeský kraj"
Petrohrad,Louny,"Ústecký kraj"
Petroupim,Benešov,"Středočeský kraj"
Petrov,Blansko,"Jihomoravský kraj"
Petrov,Hodonín,"Jihomoravský kraj"
Petrovice,Blansko,"Jihomoravský kraj"
Petrovice,Bruntál,"Moravskoslezský kraj"
Petrovice,"Hradec Králové","Královéhradecký kraj"
"Petrovice II","Kutná Hora","Středočeský kraj"
"Petrovice I","Kutná Hora","Středočeský kraj"
Petrovice,Příbram,"Středočeský kraj"
Petrovice,Rakovník,"Středočeský kraj"
Petrovice,Třebíč,Vysočina
"Petrovice u Karviné",Karviná,"Moravskoslezský kraj"
Petrovice,"Ústí nad Labem","Ústecký kraj"
Petrovice,"Ústí nad Orlicí","Pardubický kraj"
"Petrovice u Sušice",Klatovy,"Plzeňský kraj"
Petrovice,Znojmo,"Jihomoravský kraj"
Petrovičky,Jičín,"Královéhradecký kraj"
Petrov,Praha-západ,"Středočeský kraj"
Petrůvka,Zlín,"Zlínský kraj"
Petrůvky,Třebíč,Vysočina
Petřvald,Karviná,"Moravskoslezský kraj"
Petřvald,"Nový Jičín","Moravskoslezský kraj"
Pičín,Příbram,"Středočeský kraj"
Pikárec,"Žďár nad Sázavou",Vysočina
Pila,"Karlovy Vary","Karlovarský kraj"
Pilníkov,Trutnov,"Královéhradecký kraj"
Písařov,Šumperk,"Olomoucký kraj"
Písečná,Frýdek-Místek,"Moravskoslezský kraj"
Písečná,Jeseník,"Olomoucký kraj"
Písečná,"Ústí nad Orlicí","Pardubický kraj"
Písečné,"Jindřichův Hradec","Jihočeský kraj"
Písečné,"Žďár nad Sázavou",Vysočina
Písek,Frýdek-Místek,"Moravskoslezský kraj"
Písek,"Hradec Králové","Královéhradecký kraj"
Písek,Písek,"Jihočeský kraj"
"Písková Lhota","Mladá Boleslav","Středočeský kraj"
"Písková Lhota",Nymburk,"Středočeský kraj"
Píšťany,Litoměřice,"Ústecký kraj"
Pístina,"Jindřichův Hradec","Jihočeský kraj"
Pištín,"České Budějovice","Jihočeský kraj"
Píšť,Opava,"Moravskoslezský kraj"
Píšť,Pelhřimov,Vysočina
Písty,Nymburk,"Středočeský kraj"
Pitín,"Uherské Hradiště","Zlínský kraj"
Pivín,Prostějov,"Olomoucký kraj"
Pivkovice,Strakonice,"Jihočeský kraj"
Planá,"České Budějovice","Jihočeský kraj"
"Planá nad Lužnicí",Tábor,"Jihočeský kraj"
Plaňany,Kolín,"Středočeský kraj"
Planá,Tachov,"Plzeňský kraj"
Plandry,Jihlava,Vysočina
Pláně,Plzeň-sever,"Plzeňský kraj"
Plánice,Klatovy,"Plzeňský kraj"
Plasy,Plzeň-sever,"Plzeňský kraj"
Plav,"České Budějovice","Jihočeský kraj"
Plaveč,Znojmo,"Jihomoravský kraj"
Plavsko,"Jindřichův Hradec","Jihočeský kraj"
Plavy,"Jablonec nad Nisou","Liberecký kraj"
Plazy,"Mladá Boleslav","Středočeský kraj"
Plchovice,"Ústí nad Orlicí","Pardubický kraj"
Plchov,Kladno,"Středočeský kraj"
Plch,Pardubice,"Pardubický kraj"
Plenkovice,Znojmo,"Jihomoravský kraj"
Pleše,"Jindřichův Hradec","Jihočeský kraj"
Plesná,Cheb,"Karlovarský kraj"
Plešnice,Plzeň-sever,"Plzeňský kraj"
"Pletený Újezd",Kladno,"Středočeský kraj"
Plískov,Rokycany,"Plzeňský kraj"
Ploskovice,Litoměřice,"Ústecký kraj"
"Pluhův Žďár","Jindřichův Hradec","Jihočeský kraj"
Plumlov,Prostějov,"Olomoucký kraj"
Plužná,"Mladá Boleslav","Středočeský kraj"
Plzeň,Plzeň-město,"Plzeňský kraj"
Pnětluky,Louny,"Ústecký kraj"
Pňovany,Plzeň-sever,"Plzeňský kraj"
Pňovice,Olomouc,"Olomoucký kraj"
Pňov-Předhradí,Kolín,"Středočeský kraj"
Poběžovice,Domažlice,"Plzeňský kraj"
"Poběžovice u Holic",Pardubice,"Pardubický kraj"
"Poběžovice u Přelouče",Pardubice,"Pardubický kraj"
Počaply,Příbram,"Středočeský kraj"
Počátky,Pelhřimov,Vysočina
Počedělice,Louny,"Ústecký kraj"
Počenice-Tetětice,Kroměříž,"Zlínský kraj"
Počepice,Příbram,"Středočeský kraj"
Pochvalov,Rakovník,"Středočeský kraj"
Pocinovice,Domažlice,"Plzeňský kraj"
Počítky,"Žďár nad Sázavou",Vysočina
"Podbořanský Rohozec",Louny,"Ústecký kraj"
Podbořany,Louny,"Ústecký kraj"
Podbrdy,Beroun,"Středočeský kraj"
Podbřežice,Vyškov,"Jihomoravský kraj"
Podbřezí,"Rychnov nad Kněžnou","Královéhradecký kraj"
Poděbrady,Nymburk,"Středočeský kraj"
Poděšín,"Žďár nad Sázavou",Vysočina
Poděvousy,Domažlice,"Plzeňský kraj"
"Podhořany u Ronova",Chrudim,"Pardubický kraj"
"Podhorní Újezd a Vojice",Jičín,"Královéhradecký kraj"
Podhradí,Cheb,"Karlovarský kraj"
Podhradí,Jičín,"Královéhradecký kraj"
"Podhradí nad Dyjí",Znojmo,"Jihomoravský kraj"
Podhradí,Zlín,"Zlínský kraj"
"Podhradní Lhota",Kroměříž,"Zlínský kraj"
Podivice,Vyškov,"Jihomoravský kraj"
Podivín,Břeclav,"Jihomoravský kraj"
"Podkopná Lhota",Zlín,"Zlínský kraj"
Podlešín,Kladno,"Středočeský kraj"
Podlesí,Příbram,"Středočeský kraj"
Podlesí,"Ústí nad Orlicí","Pardubický kraj"
Podluhy,Beroun,"Středočeský kraj"
Podmoklany,"Havlíčkův Brod",Vysočina
Podmokly,Klatovy,"Plzeňský kraj"
Podmokly,Rokycany,"Plzeňský kraj"
Podmoky,"Havlíčkův Brod",Vysočina
Podmoky,Nymburk,"Středočeský kraj"
Podmolí,Znojmo,"Jihomoravský kraj"
Podmyče,Znojmo,"Jihomoravský kraj"
Podolanka,Praha-východ,"Středočeský kraj"
Podolí,Brno-venkov,"Jihomoravský kraj"
"Podolí I",Písek,"Jihočeský kraj"
Podolí,Přerov,"Olomoucký kraj"
Podolí,"Uherské Hradiště","Zlínský kraj"
Podolí,Vsetín,"Zlínský kraj"
Podolí,"Žďár nad Sázavou",Vysočina
Podomí,Vyškov,"Jihomoravský kraj"
Podsedice,Litoměřice,"Ústecký kraj"
Podůlšany,Pardubice,"Pardubický kraj"
Podůlší,Jičín,"Královéhradecký kraj"
Podveky,"Kutná Hora","Středočeský kraj"
Pohled,"Havlíčkův Brod",Vysočina
Pohleď,"Havlíčkův Brod",Vysočina
Pohledy,Svitavy,"Pardubický kraj"
Pohnánec,Tábor,"Jihočeský kraj"
Pohnání,Tábor,"Jihočeský kraj"
Pohořelice,Brno-venkov,"Jihomoravský kraj"
Pohořelice,Zlín,"Zlínský kraj"
Pohoří,Praha-západ,"Středočeský kraj"
Pohoří,"Rychnov nad Kněžnou","Královéhradecký kraj"
Pohorovice,Strakonice,"Jihočeský kraj"
"Pohorská Ves","Český Krumlov","Jihočeský kraj"
Pojbuky,Tábor,"Jihočeský kraj"
Pokojovice,Třebíč,Vysočina
Pokojov,"Žďár nad Sázavou",Vysočina
Pokřikov,Chrudim,"Pardubický kraj"
Polánka,Plzeň-jih,"Plzeňský kraj"
Poleň,Klatovy,"Plzeňský kraj"
Polepy,Kolín,"Středočeský kraj"
Polepy,Litoměřice,"Ústecký kraj"
Polerady,Most,"Ústecký kraj"
Polerady,Praha-východ,"Středočeský kraj"
Polesí,Pelhřimov,Vysočina
Polešovice,"Uherské Hradiště","Zlínský kraj"
Polevsko,"Česká Lípa","Liberecký kraj"
"Police nad Metují",Náchod,"Královéhradecký kraj"
Police,Šumperk,"Olomoucký kraj"
Police,Třebíč,Vysočina
Police,Vsetín,"Zlínský kraj"
Polička,Svitavy,"Pardubický kraj"
Polkovice,Přerov,"Olomoucký kraj"
Polná,Jihlava,Vysočina
"Polní Chrčice",Kolín,"Středočeský kraj"
Polnička,"Žďár nad Sázavou",Vysočina
"Polní Voděrady",Kolín,"Středočeský kraj"
Polomí,Prostějov,"Olomoucký kraj"
Polom,Přerov,"Olomoucký kraj"
Polom,"Rychnov nad Kněžnou","Královéhradecký kraj"
Polště,"Jindřichův Hradec","Jihočeský kraj"
"Pomezí nad Ohří",Cheb,"Karlovarský kraj"
Pomezí,Svitavy,"Pardubický kraj"
Ponědraž,"Jindřichův Hradec","Jihočeský kraj"
Ponědrážka,"Jindřichův Hradec","Jihočeský kraj"
Ponětovice,Brno-venkov,"Jihomoravský kraj"
Poniklá,Semily,"Liberecký kraj"
Popelín,"Jindřichův Hradec","Jihočeský kraj"
Popice,Břeclav,"Jihomoravský kraj"
Popovice,Benešov,"Středočeský kraj"
Popovice,Brno-venkov,"Jihomoravský kraj"
Popovice,"Uherské Hradiště","Zlínský kraj"
Popovičky,Praha-východ,"Středočeský kraj"
Popůvky,Brno-venkov,"Jihomoravský kraj"
Popůvky,Třebíč,Vysočina
Poříčany,Kolín,"Středočeský kraj"
"Poříčí nad Sázavou",Benešov,"Středočeský kraj"
"Poříčí u Litomyšle",Svitavy,"Pardubický kraj"
Pošná,Pelhřimov,Vysočina
Postoloprty,Louny,"Ústecký kraj"
Poštovice,Kladno,"Středočeský kraj"
Postřekov,Domažlice,"Plzeňský kraj"
Postřelmov,Šumperk,"Olomoucký kraj"
Postřelmůvek,Šumperk,"Olomoucký kraj"
Postřižín,Mělník,"Středočeský kraj"
Postupice,Benešov,"Středočeský kraj"
Poteč,Zlín,"Zlínský kraj"
Potěhy,"Kutná Hora","Středočeský kraj"
Potštát,Přerov,"Olomoucký kraj"
Potštejn,"Rychnov nad Kněžnou","Královéhradecký kraj"
Potůčky,"Karlovy Vary","Karlovarský kraj"
Potvorov,Plzeň-sever,"Plzeňský kraj"
Poustka,Cheb,"Karlovarský kraj"
Pouzdřany,Břeclav,"Jihomoravský kraj"
Povrly,"Ústí nad Labem","Ústecký kraj"
Pozďatín,Třebíč,Vysočina
Pozděchov,Vsetín,"Zlínský kraj"
Pozdeň,Kladno,"Středočeský kraj"
Pozlovice,Zlín,"Zlínský kraj"
Pozořice,Brno-venkov,"Jihomoravský kraj"
Prace,Brno-venkov,"Jihomoravský kraj"
Pracejovice,Strakonice,"Jihočeský kraj"
Práče,Znojmo,"Jihomoravský kraj"
Prachatice,Prachatice,"Jihočeský kraj"
Prachovice,Chrudim,"Pardubický kraj"
"Prackovice nad Labem",Litoměřice,"Ústecký kraj"
Prádlo,Plzeň-jih,"Plzeňský kraj"
Praha,"Hl.m. Praha","Hlavní město Praha"
Prakšice,"Uherské Hradiště","Zlínský kraj"
Prameny,Cheb,"Karlovarský kraj"
Prasek,"Hradec Králové","Královéhradecký kraj"
Prášily,Klatovy,"Plzeňský kraj"
Praskačka,"Hradec Králové","Královéhradecký kraj"
Prasklice,Kroměříž,"Zlínský kraj"
Praskolesy,Beroun,"Středočeský kraj"
Přáslavice,Olomouc,"Olomoucký kraj"
Pravčice,Kroměříž,"Zlínský kraj"
Pravice,Znojmo,"Jihomoravský kraj"
Pravlov,Brno-venkov,"Jihomoravský kraj"
Pravonín,Benešov,"Středočeský kraj"
Pravy,Pardubice,"Pardubický kraj"
Pražmo,Frýdek-Místek,"Moravskoslezský kraj"
Přeborov,Písek,"Jihočeský kraj"
Přebuz,Sokolov,"Karlovarský kraj"
Přechovice,Strakonice,"Jihočeský kraj"
Přeckov,Třebíč,Vysočina
Předboj,Praha-východ,"Středočeský kraj"
Předenice,Plzeň-jih,"Plzeňský kraj"
Předhradí,Chrudim,"Pardubický kraj"
Předín,Třebíč,Vysočina
Předklášteří,Brno-venkov,"Jihomoravský kraj"
"Předměřice nad Jizerou","Mladá Boleslav","Středočeský kraj"
"Předměřice nad Labem","Hradec Králové","Královéhradecký kraj"
Předmíř,Strakonice,"Jihočeský kraj"
"Přední Výtoň","Český Krumlov","Jihočeský kraj"
"Přední Zborovice",Strakonice,"Jihočeský kraj"
Předotice,Písek,"Jihočeský kraj"
Předslavice,Strakonice,"Jihočeský kraj"
Předslav,Klatovy,"Plzeňský kraj"
Přehořov,Tábor,"Jihočeský kraj"
Přehvozdí,Kolín,"Středočeský kraj"
Přehýšov,Plzeň-sever,"Plzeňský kraj"
Přelíc,Kladno,"Středočeský kraj"
Přelouč,Pardubice,"Pardubický kraj"
Přelovice,Pardubice,"Pardubický kraj"
Přemyslovice,Prostějov,"Olomoucký kraj"
Přepeře,"Mladá Boleslav","Středočeský kraj"
Přepeře,Semily,"Liberecký kraj"
Přepychy,Pardubice,"Pardubický kraj"
Přepychy,"Rychnov nad Kněžnou","Královéhradecký kraj"
"Přerov nad Labem",Nymburk,"Středočeský kraj"
Přerov,Přerov,"Olomoucký kraj"
Přerubenice,Rakovník,"Středočeský kraj"
Přeskače,Znojmo,"Jihomoravský kraj"
Přešovice,Třebíč,Vysočina
Přestanov,"Ústí nad Labem","Ústecký kraj"
Přestavlky,Chrudim,"Pardubický kraj"
Přestavlky,Litoměřice,"Ústecký kraj"
Přestavlky,Plzeň-jih,"Plzeňský kraj"
Přestavlky,Přerov,"Olomoucký kraj"
"Přestavlky u Čerčan",Benešov,"Středočeský kraj"
Přeštěnice,Písek,"Jihočeský kraj"
Přeštice,Plzeň-jih,"Plzeňský kraj"
Přešťovice,Strakonice,"Jihočeský kraj"
Převýšov,"Hradec Králové","Královéhradecký kraj"
Přezletice,Praha-východ,"Středočeský kraj"
Přibice,Brno-venkov,"Jihomoravský kraj"
Příbor,"Nový Jičín","Moravskoslezský kraj"
Příbram,Brno-venkov,"Jihomoravský kraj"
Příbram,Příbram,"Středočeský kraj"
Příbraz,"Jindřichův Hradec","Jihočeský kraj"
Přibyslav,"Havlíčkův Brod",Vysočina
Přibyslavice,Brno-venkov,"Jihomoravský kraj"
Přibyslavice,Třebíč,Vysočina
Přibyslav,Náchod,"Královéhradecký kraj"
Příchovice,Plzeň-jih,"Plzeňský kraj"
Příčina,Rakovník,"Středočeský kraj"
Příčovy,Příbram,"Středočeský kraj"
Přídolí,"Český Krumlov","Jihočeský kraj"
Příkazy,Olomouc,"Olomoucký kraj"
Příkosice,Rokycany,"Plzeňský kraj"
Příkrý,Semily,"Liberecký kraj"
Přílepy,Kroměříž,"Zlínský kraj"
Přílepy,Rakovník,"Středočeský kraj"
Příluka,Svitavy,"Pardubický kraj"
Přimda,Tachov,"Plzeňský kraj"
Přísečná,"Český Krumlov","Jihočeský kraj"
Příseka,"Havlíčkův Brod",Vysočina
Přišimasy,Kolín,"Středočeský kraj"
Přísnotice,Brno-venkov,"Jihomoravský kraj"
Příšovice,Liberec,"Liberecký kraj"
Příšov,Plzeň-sever,"Plzeňský kraj"
Přistoupim,Kolín,"Středočeský kraj"
Příštpo,Třebíč,Vysočina
Přítluky,Břeclav,"Jihomoravský kraj"
Přívětice,Rokycany,"Plzeňský kraj"
Přívrat,"Ústí nad Orlicí","Pardubický kraj"
Prlov,Vsetín,"Zlínský kraj"
Proboštov,Teplice,"Ústecký kraj"
Probulov,Písek,"Jihočeský kraj"
Prodašice,"Mladá Boleslav","Středočeský kraj"
Prokopov,Znojmo,"Jihomoravský kraj"
